time,47-x,47-y,47-z,46-x,46-y,46-z,41-x,41-y,41-z,55-x,55-y,55-z,49-x,49-y,49-z,27-x,27-y,27-z,43-x,43-y,43-z,51-x,51-y,51-z,38-x,38-y,38-z,52-x,52-y,52-z,44-x,44-y,44-z,42-x,42-y,42-z,45-x,45-y,45-z,14-x,14-y,14-z,53-x,53-y,53-z,50-x,50-y,50-z,48-x,48-y,48-z,40-x,40-y,40-z339169.318,2.26,2,-4,2.26,2,-2,2.26,1,-4,1,2,-4,-0.33,2,-4,2.26,1,-2,-0.33,1,-4,2.26,2,0,1,1,-2,-0.33,2,-2,2.26,1,0,-0.33,1,0,1,1,0,-0.33,1,-2,1,2,0,-0.33,2,0,1,2,-2,1,1,-4
339169.581,2.26,1.74128,-4,2.26,1.74128,-2,2.26,0.7412801,-4,1,1.74128,-4,-0.33,1.74128,-4,2.26,0.7412801,-2,-0.33,0.7412801,-4,2.26,1.74128,0,1,0.7412801,-2,-0.33,1.74128,-2,2.26,0.7412801,0,-0.33,0.7412801,0,1,0.7412801,0,-0.33,0.7412801,-2,1,1.74128,0,-0.33,1.74128,0,1,1.74128,-2,1,0.7412801,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.582,2.26,1.69424,-4,2.26,1.69424,-2,2.26,0.6942401,-4,1,1.69424,-4,-0.33,1.69424,-4,2.26,0.6942401,-2,-0.33,0.6942401,-4,2.26,1.69424,0,1,0.6942401,-2,-0.33,1.69424,-2,2.26,0.6942401,0,-0.33,0.6942401,0,1,0.6942401,0,-0.33,0.6942401,-2,1,1.69424,0,-0.33,1.69424,0,1,1.69424,-2,1,0.6942401,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.582,2.26,1.64328,-4,2.26,1.64328,-2,2.26,0.6432801,-4,1,1.64328,-4,-0.33,1.64328,-4,2.26,0.6432801,-2,-0.33,0.6432801,-4,2.26,1.64328,0,1,0.6432801,-2,-0.33,1.64328,-2,2.26,0.6432801,0,-0.33,0.6432801,0,1,0.6432801,0,-0.33,0.6432801,-2,1,1.64328,0,-0.33,1.64328,0,1,1.64328,-2,1,0.6432801,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.597,2.26,1.5884,-4,2.26,1.5884,-2,2.26,0.5884001,-4,1,1.5884,-4,-0.33,1.5884,-4,2.26,0.5884001,-2,-0.33,0.5884001,-4,2.26,1.5884,0,1,0.5884001,-2,-0.33,1.5884,-2,2.26,0.5884001,0,-0.33,0.5884001,0,1,0.5884001,0,-0.33,0.5884001,-2,1,1.5884,0,-0.33,1.5884,0,1,1.5884,-2,1,0.5884001,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.614,2.26,1.5296,-4,2.26,1.5296,-2,2.26,0.5296001,-4,1,1.5296,-4,-0.33,1.5296,-4,2.26,0.5296001,-2,-0.33,0.5296001,-4,2.26,1.5296,0,1,0.5296001,-2,-0.33,1.5296,-2,2.26,0.5296001,0,-0.33,0.5296001,0,1,0.5296001,0,-0.33,0.5296001,-2,1,1.5296,0,-0.33,1.5296,0,1,1.5296,-2,1,0.5296001,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.631,2.26,1.46688,-4,2.26,1.46688,-2,2.26,0.4668801,-4,1,1.46688,-4,-0.33,1.46688,-4,2.26,0.4668801,-2,-0.33,0.4668801,-4,2.26,1.46688,0,1,0.4668801,-2,-0.33,1.46688,-2,2.26,0.4668801,0,-0.33,0.4668801,0,1,0.4668801,0,-0.33,0.4668801,-2,1,1.46688,0,-0.33,1.46688,0,1,1.46688,-2,1,0.4668801,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.647,2.260049,1.459177,-3.999929,2.260901,1.45929,-2.000144,2.259922,0.4773095,-3.999931,1.000303,1.459758,-4.00035,-0.3313291,1.460344,-3.998564,2.25961,0.4772723,-1.999854,-0.3305317,0.4777095,-3.998687,2.260581,1.461258,9.54E-05,0.9999037,0.4762484,-1.999918,-0.3313291,1.460344,-1.998564,2.259679,0.4774601,-6.15E-05,-0.3308356,0.477995,-3.91E-05,0.9998151,0.4773812,-9.15E-05,-0.3305317,0.4777095,-1.998687,1.000169,1.461373,0.000132666,-0.3304916,1.462339,0.001919451,1.000043,1.460253,-1.999978,0.9998523,0.4773915,-3.99979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.68,2.260063,1.459613,-3.999948,2.261263,1.459658,-2.000038,2.260113,0.4794719,-4.000202,1.000558,1.459751,-4.000511,-0.334524,1.460082,-3.994956,2.259436,0.4796033,-2.000075,-0.3309613,0.4808135,-3.997745,2.260649,1.460191,5.75E-05,1.000107,0.4790044,-2.000179,-0.3345239,1.460082,-1.994956,2.260006,0.4795302,-0.000385943,-0.3307545,0.4798028,0.000941117,0.9998286,0.4794579,-0.000329434,-0.3309732,0.4808044,-1.997738,0.9998955,1.460285,-0.000174615,-0.3327948,1.460878,0.004804738,1.000092,1.45988,-2.000103,0.9998868,0.479509,-3.999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.697,2.260083,1.459821,-4.000035,2.261296,1.459846,-2.000048,2.260221,0.4798926,-4.00026,1.000689,1.459918,-4.000605,-0.3377213,1.460202,-3.990664,2.259572,0.4799607,-2.000099,-0.3324156,0.4807357,-3.996492,2.260676,1.460029,-0.000211663,1.000217,0.479684,-2.000215,-0.3377222,1.460207,-1.99066,2.260201,0.4799231,-0.000340261,-0.3314892,0.4802135,0.002331163,0.9997843,0.4798939,-0.000284467,-0.3324435,0.4807357,-1.996462,0.999738,1.460036,-0.000570427,-0.3356277,1.460546,0.008400983,1.000157,1.459925,-2.000305,0.9999476,0.479919,-4.000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339169.714,2.26009,1.459865,-4.000126,2.26122,1.459868,-2.000037,2.260224,0.4799718,-4.000201,1.00074,1.459908,-4.000597,-0.3413468,1.460019,-3.986115,2.259788,0.4800069,-2.000078,-0.3337578,0.4801673,-3.995032,2.260733,1.459998,-0.000363635,1.000165,0.4798559,-2.000207,-0.3413557,1.460021,-1.986094,2.260227,0.4799831,-0.000279484,-0.3326762,0.4801376,0.003806823,0.9997706,0.4799727,-0.000314059,-0.3341488,0.4801604,-1.995056,0.9996495,1.460061,-0.000810489,-0.3390506,1.460256,0.01241797,1.000271,1.459931,-2.000451,0.9999921,0.4799857,-4.00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
